ECCN_CODE,DESCRIPTION,ULTIMATE_COUNTRY_NAME,cases by country
0A979,"POLICE HELMETS, SHIELDS AND PARTS",AFGHANISTAN,1
0A979,"POLICE HELMETS, SHIELDS AND PARTS",BOLIVIA,1
0A979,"POLICE HELMETS, SHIELDS AND PARTS",CENTRAL AFRICAN REPUBLIC,1
0A979,"POLICE HELMETS, SHIELDS AND PARTS",COSTA RICA,1
0A979,"POLICE HELMETS, SHIELDS AND PARTS",FINLAND,1
0A979,"POLICE HELMETS, SHIELDS AND PARTS","GERMANY, FEDERAL REP",1
0A979,"POLICE HELMETS, SHIELDS AND PARTS",GUYANA,1
0A979,"POLICE HELMETS, SHIELDS AND PARTS",HAITI,3
0A979,"POLICE HELMETS, SHIELDS AND PARTS",INDONESIA,1
0A979,"POLICE HELMETS, SHIELDS AND PARTS",ISRAEL,3
0A979,"POLICE HELMETS, SHIELDS AND PARTS",JAMAICA,1
0A979,"POLICE HELMETS, SHIELDS AND PARTS",KOSOVO,1
0A979,"POLICE HELMETS, SHIELDS AND PARTS",LEBANON,1
0A979,"POLICE HELMETS, SHIELDS AND PARTS",MEXICO,5
0A979,"POLICE HELMETS, SHIELDS AND PARTS",PORTUGAL,1
0A979,"POLICE HELMETS, SHIELDS AND PARTS",SINGAPORE,3
0A979,"POLICE HELMETS, SHIELDS AND PARTS",SWITZERLAND,2
0A979,"POLICE HELMETS, SHIELDS AND PARTS",SYRIA,1
0A979,"POLICE HELMETS, SHIELDS AND PARTS",UNITED ARAB EMIRATES,2
0A979,"POLICE HELMETS, SHIELDS AND PARTS",UZBEKISTAN,1
0A980,HORSES BY SEA,BERMUDA,1
0A980,HORSES BY SEA,COSTA RICA,1
0A980,HORSES BY SEA,PANAMA,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",AFGHANISTAN,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",ARUBA,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",AUSTRALIA,3
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",BELGIUM,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",BOLIVIA,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",BRUNEI DARUSSALAM,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",CAYMAN ISLANDS,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",CHILE,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",COSTA RICA,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",CURACAO,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",CZECH REPUBLIC,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",FINLAND,2
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",FRANCE,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES","GERMANY, FEDERAL REP",2
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",GUATEMALA,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",HONDURAS,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",HUNGARY,3
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",ISRAEL,3
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",ITALY,3
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",JAMAICA,3
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",JORDAN,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES","KOREA, REPUBLIC OF (SOUTH KOREA)",1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",KOSOVO,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",LITHUANIA,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",MEXICO,6
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",NEW ZEALAND,2
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",NORWAY,2
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",PERU,2
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",POLAND,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",SAUDI ARABIA,2
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",SINGAPORE,6
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",SLOVENIA,2
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",SOUTH AFRICA,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",SPAIN,2
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",ST KITTS AND NEVIS,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",ST LUCIA,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",SYRIA,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",TRINIDAD AND TOBAGO,3
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",TURKEY,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",UGANDA,1
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",UNITED ARAB EMIRATES,2
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",UNITED KINGDOM,6
0A982,"HANDCUFFS, LEG IRONS AND SHACKLES",URUGUAY,1
0A983,SPECIALLY DESIGNED IMPLEMENTS OF TORTURE AND THUMB,SYRIA,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",ARGENTINA,3
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",AUSTRIA,2
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",BAHAMAS,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",BANGLADESH,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",BELGIUM,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",BELIZE,2
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",BOLIVIA,2
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",BRAZIL,3
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",CANADA,35
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",CHILE,4
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",COLOMBIA,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",DOMINICAN REPUBLIC,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",FINLAND,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",GEORGIA,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",GUATEMALA,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",GUYANA,2
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",HONG KONG,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",IRELAND,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",ISRAEL,2
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",JAMAICA,4
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",JORDAN,3
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",KOSOVO,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",NAMIBIA,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",NICARAGUA,3
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",OMAN,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",PANAMA,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",PARAGUAY,2
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",PERU,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",PHILIPPINES,2
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",SOUTH AFRICA,2
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",ST KITTS AND NEVIS,4
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",ST LUCIA,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",SURINAME,3
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",SWEDEN,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",SWITZERLAND,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",THAILAND,25
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",TRINIDAD AND TOBAGO,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",UKRAINE,2
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",UNITED ARAB EMIRATES,1
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",URUGUAY,2
0A984,"SHOTGUNS, BUCKSHOT,SHOTGUN SHELLS",ZAMBIA,2
0A985,DISCHARGE TYPE ARMS,AFGHANISTAN,1
0A985,DISCHARGE TYPE ARMS,BAHAMAS,2
