ECCN_CODE,DESCRIPTION,ULTIMATE_COUNTRY_NAME,cases by country
0B614,"TEST, INSPECTION, PRODUCTION EQUIPMENT FOR MILITARY TRAINING EQUIPMENT AND SPECIALLY DESIGNED PARTS AND COMPONENTS",AFGHANISTAN,1
0B614,"TEST, INSPECTION, PRODUCTION EQUIPMENT FOR MILITARY TRAINING EQUIPMENT AND SPECIALLY DESIGNED PARTS AND COMPONENTS",NETHERLANDS,1
0B614,"TEST, INSPECTION, PRODUCTION EQUIPMENT FOR MILITARY TRAINING EQUIPMENT AND SPECIALLY DESIGNED PARTS AND COMPONENTS",SAUDI ARABIA,1
0B614,"TEST, INSPECTION, PRODUCTION EQUIPMENT FOR MILITARY TRAINING EQUIPMENT AND SPECIALLY DESIGNED PARTS AND COMPONENTS",UNITED ARAB EMIRATES,1
0B986,EQUIPMENT DESIGNED FOR SHOTGUN SHELLS,CANADA,1
0D521,ANY COMMODITY SUBJECT TO THE EAR THAT IS NOT LISTED ELSEWHERE IN THE GROUP D CCL,INDIA,2
0D521,ANY COMMODITY SUBJECT TO THE EAR THAT IS NOT LISTED ELSEWHERE IN THE GROUP D CCL,SWITZERLAND,1
0D606,"SOFTWARE SPECIALLY DESIGNED FOR THE DEVELOPMENT, PRODUCTION, OPERATION, OR MAINTENANCE OF GROUND VEHICLES AND RELATED COMMODITIES CONTROLED BY 0A606, 0B606, OR 0C606",UNITED KINGDOM,1
0D614,SOFTWARE RELATED TO MILITARY TRAINING EQUIPMENT,AUSTRALIA,1
0D614,SOFTWARE RELATED TO MILITARY TRAINING EQUIPMENT,UNITED ARAB EMIRATES,1
0E521,ANY COMMODITY SUBJECT TO THE EAR THAT IS NOT LISTED ELSEWHERE IN THE GROUP E CCL,INDIA,2
0E521,ANY COMMODITY SUBJECT TO THE EAR THAT IS NOT LISTED ELSEWHERE IN THE GROUP E CCL,SWITZERLAND,2
0E604,"TECHNOLOGY REQUIRED FOR ITEMS CONTROLLED IN 0A604, 0B604 OR 0D604",JAPAN,1
0E606,"TECHNOLOGY REQUIRED FOR THE DEVELOPMENT, PRODUCTION, OPERATION, INSTALLATION, MAINTENANCE, REPAIR, OVERHAUL, OR REFURBISHING OF GROUND VEHICLES AND RELATED COMMODITIES IN 0A606, 0B606, 0C606, OR SOFTWARE IN 0D606",AFGHANISTAN,1
0E606,"TECHNOLOGY REQUIRED FOR THE DEVELOPMENT, PRODUCTION, OPERATION, INSTALLATION, MAINTENANCE, REPAIR, OVERHAUL, OR REFURBISHING OF GROUND VEHICLES AND RELATED COMMODITIES IN 0A606, 0B606, 0C606, OR SOFTWARE IN 0D606",BANGLADESH,1
0E606,"TECHNOLOGY REQUIRED FOR THE DEVELOPMENT, PRODUCTION, OPERATION, INSTALLATION, MAINTENANCE, REPAIR, OVERHAUL, OR REFURBISHING OF GROUND VEHICLES AND RELATED COMMODITIES IN 0A606, 0B606, 0C606, OR SOFTWARE IN 0D606",BOTSWANA,1
0E606,"TECHNOLOGY REQUIRED FOR THE DEVELOPMENT, PRODUCTION, OPERATION, INSTALLATION, MAINTENANCE, REPAIR, OVERHAUL, OR REFURBISHING OF GROUND VEHICLES AND RELATED COMMODITIES IN 0A606, 0B606, 0C606, OR SOFTWARE IN 0D606",BRAZIL,10
0E606,"TECHNOLOGY REQUIRED FOR THE DEVELOPMENT, PRODUCTION, OPERATION, INSTALLATION, MAINTENANCE, REPAIR, OVERHAUL, OR REFURBISHING OF GROUND VEHICLES AND RELATED COMMODITIES IN 0A606, 0B606, 0C606, OR SOFTWARE IN 0D606",COLOMBIA,2
0E606,"TECHNOLOGY REQUIRED FOR THE DEVELOPMENT, PRODUCTION, OPERATION, INSTALLATION, MAINTENANCE, REPAIR, OVERHAUL, OR REFURBISHING OF GROUND VEHICLES AND RELATED COMMODITIES IN 0A606, 0B606, 0C606, OR SOFTWARE IN 0D606",DJIBOUTI,1
0E606,"TECHNOLOGY REQUIRED FOR THE DEVELOPMENT, PRODUCTION, OPERATION, INSTALLATION, MAINTENANCE, REPAIR, OVERHAUL, OR REFURBISHING OF GROUND VEHICLES AND RELATED COMMODITIES IN 0A606, 0B606, 0C606, OR SOFTWARE IN 0D606",FRANCE,2
0E606,"TECHNOLOGY REQUIRED FOR THE DEVELOPMENT, PRODUCTION, OPERATION, INSTALLATION, MAINTENANCE, REPAIR, OVERHAUL, OR REFURBISHING OF GROUND VEHICLES AND RELATED COMMODITIES IN 0A606, 0B606, 0C606, OR SOFTWARE IN 0D606","GERMANY, FEDERAL REP",1
0E606,"TECHNOLOGY REQUIRED FOR THE DEVELOPMENT, PRODUCTION, OPERATION, INSTALLATION, MAINTENANCE, REPAIR, OVERHAUL, OR REFURBISHING OF GROUND VEHICLES AND RELATED COMMODITIES IN 0A606, 0B606, 0C606, OR SOFTWARE IN 0D606",GREECE,1
0E606,"TECHNOLOGY REQUIRED FOR THE DEVELOPMENT, PRODUCTION, OPERATION, INSTALLATION, MAINTENANCE, REPAIR, OVERHAUL, OR REFURBISHING OF GROUND VEHICLES AND RELATED COMMODITIES IN 0A606, 0B606, 0C606, OR SOFTWARE IN 0D606",INDIA,8
0E606,"TECHNOLOGY REQUIRED FOR THE DEVELOPMENT, PRODUCTION, OPERATION, INSTALLATION, MAINTENANCE, REPAIR, OVERHAUL, OR REFURBISHING OF GROUND VEHICLES AND RELATED COMMODITIES IN 0A606, 0B606, 0C606, OR SOFTWARE IN 0D606",ISRAEL,5
0E606,"TECHNOLOGY REQUIRED FOR THE DEVELOPMENT, PRODUCTION, OPERATION, INSTALLATION, MAINTENANCE, REPAIR, OVERHAUL, OR REFURBISHING OF GROUND VEHICLES AND RELATED COMMODITIES IN 0A606, 0B606, 0C606, OR SOFTWARE IN 0D606",KENYA,1
0E606,"TECHNOLOGY REQUIRED FOR THE DEVELOPMENT, PRODUCTION, OPERATION, INSTALLATION, MAINTENANCE, REPAIR, OVERHAUL, OR REFURBISHING OF GROUND VEHICLES AND RELATED COMMODITIES IN 0A606, 0B606, 0C606, OR SOFTWARE IN 0D606","KOREA, REPUBLIC OF (SOUTH KOREA)",3
0E606,"TECHNOLOGY REQUIRED FOR THE DEVELOPMENT, PRODUCTION, OPERATION, INSTALLATION, MAINTENANCE, REPAIR, OVERHAUL, OR REFURBISHING OF GROUND VEHICLES AND RELATED COMMODITIES IN 0A606, 0B606, 0C606, OR SOFTWARE IN 0D606",MEXICO,10
0E606,"TECHNOLOGY REQUIRED FOR THE DEVELOPMENT, PRODUCTION, OPERATION, INSTALLATION, MAINTENANCE, REPAIR, OVERHAUL, OR REFURBISHING OF GROUND VEHICLES AND RELATED COMMODITIES IN 0A606, 0B606, 0C606, OR SOFTWARE IN 0D606",NIGERIA,1
0E606,"TECHNOLOGY REQUIRED FOR THE DEVELOPMENT, PRODUCTION, OPERATION, INSTALLATION, MAINTENANCE, REPAIR, OVERHAUL, OR REFURBISHING OF GROUND VEHICLES AND RELATED COMMODITIES IN 0A606, 0B606, 0C606, OR SOFTWARE IN 0D606",PAKISTAN,3
0E606,"TECHNOLOGY REQUIRED FOR THE DEVELOPMENT, PRODUCTION, OPERATION, INSTALLATION, MAINTENANCE, REPAIR, OVERHAUL, OR REFURBISHING OF GROUND VEHICLES AND RELATED COMMODITIES IN 0A606, 0B606, 0C606, OR SOFTWARE IN 0D606",SPAIN,1
